100 100 #Width Height 
200  # Generations 
17 97  Live Cell 
18 0  Live Cell 
18 3  Live Cell 
18 4  Live Cell 
18 10  Live Cell 
18 39  Live Cell 
18 46  Live Cell 
18 62  Live Cell 
18 74  Live Cell 
18 77  Live Cell 
18 78  Live Cell 
18 79  Live Cell 
18 83  Live Cell 
18 92  Live Cell 
19 2  Live Cell 
19 5  Live Cell 
19 6  Live Cell 
19 11  Live Cell 
19 12  Live Cell 
19 15  Live Cell 
19 26  Live Cell 
19 29  Live Cell 
19 30  Live Cell 
19 32  Live Cell 
19 36  Live Cell 
19 39  Live Cell 
19 44  Live Cell 
19 45  Live Cell 
19 55  Live Cell 
19 62  Live Cell 
19 66  Live Cell 
19 87  Live Cell 
19 90  Live Cell 
19 93  Live Cell 
19 94  Live Cell 
19 95  Live Cell 
20 7  Live Cell 
20 8  Live Cell 
20 11  Live Cell 
20 13  Live Cell 
20 15  Live Cell 
20 18  Live Cell 
20 21  Live Cell 
20 42  Live Cell 
20 43  Live Cell 
20 53  Live Cell 
20 60  Live Cell 
20 68  Live Cell 
20 72  Live Cell 
20 74  Live Cell 
20 85  Live Cell 
20 87  Live Cell 
20 91  Live Cell 
20 98  Live Cell 
21 4  Live Cell 
21 10  Live Cell 
21 15  Live Cell 
21 18  Live Cell 
21 22  Live Cell 
21 28  Live Cell 
21 29  Live Cell 
21 33  Live Cell 
21 35  Live Cell 
21 42  Live Cell 
21 43  Live Cell 
21 44  Live Cell 
21 47  Live Cell 
21 51  Live Cell 
21 66  Live Cell 
21 71  Live Cell 
21 79  Live Cell 
21 81  Live Cell 
21 82  Live Cell 
21 84  Live Cell 
21 87  Live Cell 
21 90  Live Cell 
21 92  Live Cell 
21 95  Live Cell 
21 97  Live Cell 
22 0  Live Cell 
22 1  Live Cell 
22 13  Live Cell 
22 23  Live Cell 
22 32  Live Cell 
22 35  Live Cell 
22 44  Live Cell 
22 50  Live Cell 
22 51  Live Cell 
22 54  Live Cell 
22 58  Live Cell 
22 62  Live Cell 
22 69  Live Cell 
22 77  Live Cell 
22 86  Live Cell 
22 96  Live Cell 
22 97  Live Cell 
22 99  Live Cell 
23 1  Live Cell 
23 2  Live Cell 
23 7  Live Cell 
23 19  Live Cell 
23 25  Live Cell 
23 27  Live Cell 
23 32  Live Cell 
23 37  Live Cell 
23 43  Live Cell 
23 47  Live Cell 
23 48  Live Cell 
23 49  Live Cell 
23 50  Live Cell 
23 51  Live Cell 
23 53  Live Cell 
23 65  Live Cell 
23 66  Live Cell 
23 72  Live Cell 
23 73  Live Cell 
23 74  Live Cell 
23 76  Live Cell 
23 77  Live Cell 
23 88  Live Cell 
23 93  Live Cell 
23 94  Live Cell 
23 96  Live Cell 
24 2  Live Cell 
24 4  Live Cell 
24 11  Live Cell 
24 13  Live Cell 
24 20  Live Cell 
24 28  Live Cell 
24 34  Live Cell 
24 37  Live Cell 
24 46  Live Cell 
24 47  Live Cell 
24 49  Live Cell 
24 54  Live Cell 
24 67  Live Cell 
24 73  Live Cell 
24 79  Live Cell 
24 82  Live Cell 
24 83  Live Cell 
24 89  Live Cell 
24 91  Live Cell 
25 6  Live Cell 
25 9  Live Cell 
25 13  Live Cell 
25 20  Live Cell 
25 49  Live Cell 
25 52  Live Cell 
25 60  Live Cell 
25 69  Live Cell 
25 71  Live Cell 
25 73  Live Cell 
25 81  Live Cell 
25 83  Live Cell 
25 84  Live Cell 
26 3  Live Cell 
26 9  Live Cell 
26 10  Live Cell 
26 14  Live Cell 
26 15  Live Cell 
26 21  Live Cell 
26 24  Live Cell 
26 28  Live Cell 
26 32  Live Cell 
26 38  Live Cell 
26 43  Live Cell 
26 45  Live Cell 
26 46  Live Cell 
26 49  Live Cell 
26 54  Live Cell 
26 55  Live Cell 
26 56  Live Cell 
26 57  Live Cell 
26 62  Live Cell 
26 63  Live Cell 
26 73  Live Cell 
26 75  Live Cell 
26 89  Live Cell 
26 93  Live Cell 
26 95  Live Cell 
27 0  Live Cell 
27 2  Live Cell 
27 5  Live Cell 
27 13  Live Cell 
27 21  Live Cell 
27 39  Live Cell 
27 49  Live Cell 
27 52  Live Cell 
27 60  Live Cell 
27 70  Live Cell 
27 78  Live Cell 
27 82  Live Cell 
27 92  Live Cell 
28 8  Live Cell 
28 13  Live Cell 
28 16  Live Cell 
28 20  Live Cell 
28 21  Live Cell 
28 22  Live Cell 
28 28  Live Cell 
28 29  Live Cell 
28 30  Live Cell 
28 31  Live Cell 
28 34  Live Cell 
28 35  Live Cell 
28 37  Live Cell 
28 39  Live Cell 
28 40  Live Cell 
28 58  Live Cell 
28 61  Live Cell 
28 63  Live Cell 
28 67  Live Cell 
28 70  Live Cell 
28 71  Live Cell 
28 78  Live Cell 
28 83  Live Cell 
28 89  Live Cell 
28 90  Live Cell 
29 4  Live Cell 
29 9  Live Cell 
29 20  Live Cell 
29 23  Live Cell 
29 26  Live Cell 
29 29  Live Cell 
29 35  Live Cell 
29 45  Live Cell 
29 46  Live Cell 
29 56  Live Cell 
29 57  Live Cell 
29 60  Live Cell 
29 72  Live Cell 
29 83  Live Cell 
29 85  Live Cell 
29 95  Live Cell 
30 5  Live Cell 
30 8  Live Cell 
30 13  Live Cell 
30 17  Live Cell 
30 19  Live Cell 
30 21  Live Cell 
30 22  Live Cell 
30 30  Live Cell 
30 31  Live Cell 
30 32  Live Cell 
30 34  Live Cell 
30 44  Live Cell 
30 45  Live Cell 
30 46  Live Cell 
30 48  Live Cell 
30 63  Live Cell 
30 68  Live Cell 
30 76  Live Cell 
30 79  Live Cell 
30 83  Live Cell 
30 86  Live Cell 
30 87  Live Cell 
30 91  Live Cell 
30 92  Live Cell 
30 98  Live Cell 
31 8  Live Cell 
31 9  Live Cell 
31 10  Live Cell 
31 11  Live Cell 
31 30  Live Cell 
31 32  Live Cell 
31 34  Live Cell 
31 37  Live Cell 
31 42  Live Cell 
31 46  Live Cell 
31 62  Live Cell 
31 74  Live Cell 
31 79  Live Cell 
31 81  Live Cell 
31 83  Live Cell 
31 89  Live Cell 
31 92  Live Cell 
31 93  Live Cell 
31 98  Live Cell 
32 1  Live Cell 
32 3  Live Cell 
32 6  Live Cell 
32 8  Live Cell 
32 19  Live Cell 
32 31  Live Cell 
32 39  Live Cell 
32 40  Live Cell 
32 53  Live Cell 
32 55  Live Cell 
32 75  Live Cell 
32 79  Live Cell 
32 85  Live Cell 
32 88  Live Cell 
32 90  Live Cell 
32 93  Live Cell 
32 99  Live Cell 
33 4  Live Cell 
33 10  Live Cell 
33 24  Live Cell 
33 25  Live Cell 
33 26  Live Cell 
33 32  Live Cell 
33 34  Live Cell 
33 36  Live Cell 
33 44  Live Cell 
33 54  Live Cell 
33 57  Live Cell 
33 58  Live Cell 
33 71  Live Cell 
33 72  Live Cell 
33 75  Live Cell 
33 82  Live Cell 
33 84  Live Cell 
33 87  Live Cell 
33 89  Live Cell 
33 92  Live Cell 
34 1  Live Cell 
34 2  Live Cell 
34 18  Live Cell 
34 21  Live Cell 
34 23  Live Cell 
34 24  Live Cell 
34 39  Live Cell 
34 41  Live Cell 
34 45  Live Cell 
34 46  Live Cell 
34 48  Live Cell 
34 49  Live Cell 
34 50  Live Cell 
34 54  Live Cell 
34 55  Live Cell 
34 61  Live Cell 
34 63  Live Cell 
34 64  Live Cell 
34 72  Live Cell 
34 73  Live Cell 
34 80  Live Cell 
34 91  Live Cell 
34 92  Live Cell 
34 93  Live Cell 
34 95  Live Cell 
34 96  Live Cell 
35 11  Live Cell 
35 14  Live Cell 
35 17  Live Cell 
35 20  Live Cell 
35 22  Live Cell 
35 30  Live Cell 
35 32  Live Cell 
35 40  Live Cell 
35 44  Live Cell 
35 51  Live Cell 
35 53  Live Cell 
35 54  Live Cell 
35 63  Live Cell 
35 72  Live Cell 
35 73  Live Cell 
35 74  Live Cell 
35 76  Live Cell 
35 77  Live Cell 
35 82  Live Cell 
35 83  Live Cell 
35 85  Live Cell 
35 87  Live Cell 
35 88  Live Cell 
35 90  Live Cell 
36 5  Live Cell 
36 6  Live Cell 
36 7  Live Cell 
36 10  Live Cell 
36 11  Live Cell 
36 12  Live Cell 
36 14  Live Cell 
36 25  Live Cell 
36 30  Live Cell 
36 35  Live Cell 
36 40  Live Cell 
36 46  Live Cell 
36 48  Live Cell 
36 49  Live Cell 
36 51  Live Cell 
36 53  Live Cell 
36 60  Live Cell 
36 68  Live Cell 
36 87  Live Cell 
36 92  Live Cell 
36 95  Live Cell 
36 96  Live Cell 
36 99  Live Cell 
37 0  Live Cell 
37 12  Live Cell 
37 15  Live Cell 
37 17  Live Cell 
37 24  Live Cell 
37 31  Live Cell 
37 38  Live Cell 
37 53  Live Cell 
37 54  Live Cell 
37 59  Live Cell 
37 63  Live Cell 
37 68  Live Cell 
37 71  Live Cell 
37 72  Live Cell 
37 73  Live Cell 
37 80  Live Cell 
37 82  Live Cell 
37 91  Live Cell 
37 94  Live Cell 
37 98  Live Cell 
38 1  Live Cell 
38 6  Live Cell 
38 7  Live Cell 
38 10  Live Cell 
38 30  Live Cell 
38 41  Live Cell 
38 45  Live Cell 
38 48  Live Cell 
38 71  Live Cell 
38 73  Live Cell 
38 78  Live Cell 
38 85  Live Cell 
38 87  Live Cell 
38 97  Live Cell 
39 10  Live Cell 
39 11  Live Cell 
39 12  Live Cell 
39 23  Live Cell 
39 28  Live Cell 
39 34  Live Cell 
39 40  Live Cell 
39 41  Live Cell 
39 43  Live Cell 
39 47  Live Cell 
39 48  Live Cell 
39 55  Live Cell 
39 59  Live Cell 
39 71  Live Cell 
39 73  Live Cell 
39 74  Live Cell 
39 82  Live Cell 
39 83  Live Cell 
40 0  Live Cell 
40 2  Live Cell 
40 4  Live Cell 
40 8  Live Cell 
40 12  Live Cell 
40 13  Live Cell 
40 14  Live Cell 
40 15  Live Cell 
40 28  Live Cell 
40 32  Live Cell 
40 34  Live Cell 
40 41  Live Cell 
40 48  Live Cell 
40 50  Live Cell 
40 51  Live Cell 
40 52  Live Cell 
40 53  Live Cell 
40 56  Live Cell 
40 57  Live Cell 
40 62  Live Cell 
40 63  Live Cell 
40 78  Live Cell 
40 84  Live Cell 
40 85  Live Cell 
40 87  Live Cell 
40 89  Live Cell 
40 90  Live Cell 
40 94  Live Cell 
40 98  Live Cell 
41 10  Live Cell 
41 13  Live Cell 
41 16  Live Cell 
41 20  Live Cell 
41 21  Live Cell 
41 34  Live Cell 
41 44  Live Cell 
41 51  Live Cell 
41 54  Live Cell 
41 60  Live Cell 
41 71  Live Cell 
41 78  Live Cell 
41 80  Live Cell 
41 94  Live Cell 
42 4  Live Cell 
42 19  Live Cell 
42 21  Live Cell 
42 29  Live Cell 
42 33  Live Cell 
42 35  Live Cell 
42 39  Live Cell 
42 41  Live Cell 
42 43  Live Cell 
42 45  Live Cell 
42 46  Live Cell 
42 50  Live Cell 
42 53  Live Cell 
42 56  Live Cell 
42 57  Live Cell 
42 64  Live Cell 
42 77  Live Cell 
42 78  Live Cell 
42 81  Live Cell 
42 90  Live Cell 
42 94  Live Cell 
43 7  Live Cell 
43 8  Live Cell 
43 10  Live Cell 
43 11  Live Cell 
43 12  Live Cell 
43 17  Live Cell 
43 18  Live Cell 
43 24  Live Cell 
43 30  Live Cell 
43 33  Live Cell 
43 37  Live Cell 
43 38  Live Cell 
43 44  Live Cell 
43 45  Live Cell 
43 47  Live Cell 
43 55  Live Cell 
43 58  Live Cell 
43 60  Live Cell 
43 62  Live Cell 
43 87  Live Cell 
43 89  Live Cell 
43 92  Live Cell 
43 98  Live Cell 
44 0  Live Cell 
44 1  Live Cell 
44 7  Live Cell 
44 10  Live Cell 
44 19  Live Cell 
44 25  Live Cell 
44 26  Live Cell 
44 32  Live Cell 
44 33  Live Cell 
44 38  Live Cell 
44 44  Live Cell 
44 52  Live Cell 
44 54  Live Cell 
44 65  Live Cell 
44 67  Live Cell 
44 68  Live Cell 
44 70  Live Cell 
44 72  Live Cell 
44 78  Live Cell 
44 79  Live Cell 
44 92  Live Cell 
44 94  Live Cell 
45 4  Live Cell 
45 5  Live Cell 
45 6  Live Cell 
45 7  Live Cell 
45 14  Live Cell 
45 18  Live Cell 
45 23  Live Cell 
45 36  Live Cell 
45 40  Live Cell 
45 41  Live Cell 
45 42  Live Cell 
45 46  Live Cell 
45 47  Live Cell 
45 54  Live Cell 
45 57  Live Cell 
45 63  Live Cell 
45 65  Live Cell 
45 68  Live Cell 
45 71  Live Cell 
45 73  Live Cell 
45 74  Live Cell 
45 84  Live Cell 
45 89  Live Cell 
45 92  Live Cell 
45 94  Live Cell 
45 95  Live Cell 
46 29  Live Cell 
46 32  Live Cell 
46 36  Live Cell 
46 40  Live Cell 
46 47  Live Cell 
46 49  Live Cell 
46 50  Live Cell 
46 53  Live Cell 
46 64  Live Cell 
46 66  Live Cell 
46 69  Live Cell 
46 74  Live Cell 
46 76  Live Cell 
46 77  Live Cell 
46 83  Live Cell 
46 85  Live Cell 
46 87  Live Cell 
47 0  Live Cell 
47 5  Live Cell 
47 7  Live Cell 
47 10  Live Cell 
47 19  Live Cell 
47 27  Live Cell 
47 31  Live Cell 
47 32  Live Cell 
47 33  Live Cell 
47 39  Live Cell 
47 40  Live Cell 
47 50  Live Cell 
47 59  Live Cell 
47 68  Live Cell 
47 70  Live Cell 
47 73  Live Cell 
47 75  Live Cell 
47 83  Live Cell 
47 84  Live Cell 
47 89  Live Cell 
47 93  Live Cell 
47 98  Live Cell 
48 3  Live Cell 
48 6  Live Cell 
48 12  Live Cell 
48 16  Live Cell 
48 20  Live Cell 
48 21  Live Cell 
48 31  Live Cell 
48 33  Live Cell 
48 35  Live Cell 
48 47  Live Cell 
48 53  Live Cell 
48 63  Live Cell 
48 67  Live Cell 
48 68  Live Cell 
48 70  Live Cell 
48 75  Live Cell 
48 79  Live Cell 
48 89  Live Cell 
48 94  Live Cell 
48 98  Live Cell 
48 99  Live Cell 
49 4  Live Cell 
49 5  Live Cell 
49 14  Live Cell 
49 15  Live Cell 
49 23  Live Cell 
49 32  Live Cell 
49 34  Live Cell 
49 45  Live Cell 
49 46  Live Cell 
49 49  Live Cell 
49 53  Live Cell 
49 58  Live Cell 
49 60  Live Cell 
49 63  Live Cell 
49 77  Live Cell 
49 78  Live Cell 
49 79  Live Cell 
49 86  Live Cell 
49 89  Live Cell 
49 90  Live Cell 
49 93  Live Cell 
50 6  Live Cell 
50 7  Live Cell 
50 10  Live Cell 
50 12  Live Cell 
50 15  Live Cell 
50 23  Live Cell 
50 25  Live Cell 
50 26  Live Cell 
50 32  Live Cell 
50 34  Live Cell 
50 38  Live Cell 
50 39  Live Cell 
50 48  Live Cell 
50 53  Live Cell 
50 59  Live Cell 
50 60  Live Cell 
50 65  Live Cell 
50 71  Live Cell 
50 72  Live Cell 
50 79  Live Cell 
50 84  Live Cell 
50 85  Live Cell 
50 90  Live Cell 
50 93  Live Cell 
51 9  Live Cell 
51 20  Live Cell 
51 25  Live Cell 
51 27  Live Cell 
51 28  Live Cell 
51 30  Live Cell 
51 50  Live Cell 
51 52  Live Cell 
51 56  Live Cell 
51 58  Live Cell 
51 60  Live Cell 
51 62  Live Cell 
51 63  Live Cell 
51 65  Live Cell 
51 68  Live Cell 
51 71  Live Cell 
51 74  Live Cell 
51 75  Live Cell 
51 78  Live Cell 
51 81  Live Cell 
51 89  Live Cell 
51 96  Live Cell 
51 99  Live Cell 
52 1  Live Cell 
52 6  Live Cell 
52 9  Live Cell 
52 15  Live Cell 
52 25  Live Cell 
52 27  Live Cell 
52 31  Live Cell 
52 34  Live Cell 
52 43  Live Cell 
52 50  Live Cell 
52 51  Live Cell 
52 59  Live Cell 
52 72  Live Cell 
52 84  Live Cell 
52 85  Live Cell 
53 5  Live Cell 
53 22  Live Cell 
53 25  Live Cell 
53 28  Live Cell 
53 31  Live Cell 
53 36  Live Cell 
53 37  Live Cell 
53 40  Live Cell 
53 41  Live Cell 
53 44  Live Cell 
53 48  Live Cell 
53 51  Live Cell 
53 58  Live Cell 
53 70  Live Cell 
53 77  Live Cell 
53 83  Live Cell 
53 84  Live Cell 
53 87  Live Cell 
53 91  Live Cell 
53 92  Live Cell 
53 97  Live Cell 
54 7  Live Cell 
54 12  Live Cell 
54 16  Live Cell 
54 18  Live Cell 
54 23  Live Cell 
54 30  Live Cell 
54 36  Live Cell 
54 37  Live Cell 
54 40  Live Cell 
54 44  Live Cell 
54 53  Live Cell 
54 54  Live Cell 
54 57  Live Cell 
54 65  Live Cell 
54 77  Live Cell 
54 82  Live Cell 
54 90  Live Cell 
54 91  Live Cell 
54 95  Live Cell 
55 6  Live Cell 
55 7  Live Cell 
55 8  Live Cell 
55 10  Live Cell 
55 15  Live Cell 
55 16  Live Cell 
55 18  Live Cell 
55 39  Live Cell 
55 41  Live Cell 
55 54  Live Cell 
55 57  Live Cell 
55 59  Live Cell 
55 62  Live Cell 
55 64  Live Cell 
55 68  Live Cell 
55 75  Live Cell 
55 76  Live Cell 
55 97  Live Cell 
56 8  Live Cell 
56 10  Live Cell 
56 16  Live Cell 
56 19  Live Cell 
56 20  Live Cell 
56 26  Live Cell 
56 33  Live Cell 
56 37  Live Cell 
56 39  Live Cell 
56 46  Live Cell 
56 56  Live Cell 
56 65  Live Cell 
56 76  Live Cell 
56 79  Live Cell 
56 83  Live Cell 
56 85  Live Cell 
56 88  Live Cell 
56 90  Live Cell 
56 92  Live Cell 
56 97  Live Cell 
56 99  Live Cell 
57 1  Live Cell 
57 7  Live Cell 
57 10  Live Cell 
57 14  Live Cell 
57 18  Live Cell 
57 19  Live Cell 
57 21  Live Cell 
57 24  Live Cell 
57 30  Live Cell 
57 34  Live Cell 
57 37  Live Cell 
57 39  Live Cell 
57 48  Live Cell 
57 59  Live Cell 
57 60  Live Cell 
57 63  Live Cell 
57 70  Live Cell 
57 73  Live Cell 
57 77  Live Cell 
57 78  Live Cell 
57 80  Live Cell 
57 82  Live Cell 
57 83  Live Cell 
57 87  Live Cell 
57 94  Live Cell 
57 99  Live Cell 
58 8  Live Cell 
58 9  Live Cell 
58 23  Live Cell 
58 29  Live Cell 
58 30  Live Cell 
58 31  Live Cell 
58 32  Live Cell 
58 34  Live Cell 
58 38  Live Cell 
58 44  Live Cell 
58 45  Live Cell 
58 47  Live Cell 
58 60  Live Cell 
58 62  Live Cell 
58 66  Live Cell 
58 71  Live Cell 
58 75  Live Cell 
58 78  Live Cell 
58 95  Live Cell 
58 96  Live Cell 
59 0  Live Cell 
59 3  Live Cell 
59 6  Live Cell 
59 21  Live Cell 
59 30  Live Cell 
59 32  Live Cell 
59 33  Live Cell 
59 35  Live Cell 
59 41  Live Cell 
59 49  Live Cell 
59 56  Live Cell 
59 63  Live Cell 
59 71  Live Cell 
59 74  Live Cell 
59 77  Live Cell 
59 82  Live Cell 
59 84  Live Cell 
59 87  Live Cell 
59 90  Live Cell 
59 91  Live Cell 
59 92  Live Cell 
60 4  Live Cell 
60 13  Live Cell 
60 16  Live Cell 
60 29  Live Cell 
60 35  Live Cell 
60 36  Live Cell 
60 40  Live Cell 
60 54  Live Cell 
60 58  Live Cell 
60 59  Live Cell 
60 60  Live Cell 
60 74  Live Cell 
60 90  Live Cell 
60 91  Live Cell 
60 93  Live Cell 
60 97  Live Cell 
61 13  Live Cell 
61 22  Live Cell 
61 26  Live Cell 
61 28  Live Cell 
61 39  Live Cell 
61 42  Live Cell 
61 47  Live Cell 
61 56  Live Cell 
61 62  Live Cell 
61 63  Live Cell 
61 64  Live Cell 
61 70  Live Cell 
61 72  Live Cell 
61 76  Live Cell 
61 80  Live Cell 
61 84  Live Cell 
61 90  Live Cell 
61 99  Live Cell 
62 1  Live Cell 
62 6  Live Cell 
62 9  Live Cell 
62 17  Live Cell 
62 24  Live Cell 
62 32  Live Cell 
62 39  Live Cell 
62 42  Live Cell 
62 45  Live Cell 
62 52  Live Cell 
62 58  Live Cell 
62 62  Live Cell 
62 68  Live Cell 
62 73  Live Cell 
62 74  Live Cell 
62 86  Live Cell 
62 87  Live Cell 
62 90  Live Cell 
62 94  Live Cell 
62 95  Live Cell 
63 0  Live Cell 
63 1  Live Cell 
63 9  Live Cell 
63 15  Live Cell 
63 33  Live Cell 
63 36  Live Cell 
63 42  Live Cell 
